,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年,1972年,1971年,1970年,1969年,1968年,1967年,1966年,1965年,1964年,1963年,1962年,1961年,1960年,1959年,1958年,1957年,1956年,1955年,1954年,1953年,1952年
浙江省_地区生产总值(亿元)_居民服务、修理和其他服务业_本期值,,676.52,577.76,546.37,532.18,506.24,474.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_教育_本期值,,2078.13,1889.62,1662.18,1444.43,1272.39,1091.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_卫生和社会工作_本期值,,1503.95,1389.50,1206.13,991.86,881.86,672.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_文化、体育和娱乐业_本期值,,516.07,468.79,405.80,368.50,333.77,279.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_公共管理和社会组织_本期值,,2170.91,1974.14,1786.14,1590.63,1398.58,1213.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_劳动者报酬_本期值,,,28552.75,25026.48,22669.93,21027.28,18611.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_生产税净额_本期值,,,6887.49,7113.85,6244.79,5811.53,5692.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_固定资产折旧_本期值,,,8632.14,6803.83,6231.82,6030.05,5290.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浙江省_地区生产总值(亿元)_营业盈余_本期值,,,13930.47,13458.97,12107.5,10638.86,10428.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州市_地区生产总值(亿元)_本期值,,15373.05,14306.72,13160.72,11709.45,10495.28,8639.91,7968.58,7968.58,7153.03,6049.56,5181.80,4850.59,4155.84,3483.41,2973.74,2566.46,2118.71,1798.96,1582.94,1395.67,1225.28,1134.89,1134.89,906.61,762.01,585.52,424.71,290.07,227.95,189.62,166.29,152.54,126.02,105.36,90.49,69.47,55.89,50.19,46.82,40.65,33.53,28.40,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州市_地区生产总值(亿元)_第一产业_本期值,,325.7,305.56,299.96,293.63,278.98,254.74,249.44,249.44,232.32,205.34,188.45,178.50,162.85,149.88,140.29,132.23,126.59,114.64,111.46,103.96,97.58,96.06,96.06,84.00,69.25,57.51,41.94,34.90,33.40,30.94,28.27,25.68,20.44,17.76,15.97,12.64,10.11,10.88,9.10,8.15,8.39,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州市_地区生产总值(亿元)_第二产业_本期值,,4875.07,4694.06,4453.44,4226.87,4133.92,3649.62,3553.18,3553.18,3326.34,2861.45,2404.92,2419.08,2085.15,1763.65,1524.25,1334.99,1087.74,912.78,803.16,717.88,630.75,587.96,587.96,477.62,410.00,314.34,226.44,148.78,113.11,96.17,89.67,85.53,71.89,60.13,52.09,40.55,33.44,29.47,28.76,25.35,19.41,16.93,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州市_地区生产总值(亿元)_工业_本期值,,4288.42,4132.57,3932.46,3729.31,3641.77,3185.78,3113.64,3113.64,2908.90,2477.75,2101.00,2160.52,1873.95,1583.56,1353.34,1178.64,944.81,783.88,684.47,615.28,539.47,511.12,511.12,424.02,365.83,283.46,205.59,136.29,103.63,87.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杭州市_地区生产总值(亿元)_第三产业_本期值,,10172.28,9307.10,8407.32,7188.96,6082.38,4735.54,4165.95,4165.95,3594.38,2982.77,2588.44,2253.01,1907.84,1569.89,1309.21,1099.24,904.38,771.53,668.32,573.83,496.95,450.88,450.88,344.99,282.75,213.67,156.33,106.38,81.44,62.51,48.35,41.33,33.69,27.47,22.44,16.27,12.34,9.84,8.96,7.14,5.73,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,
萧山区_地区生产总值(亿元)_本期值,1828.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萧山区_地区生产总值(亿元)_第一产业_本期值,57.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萧山区_地区生产总值(亿元)_第二产业_本期值,693.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萧山区_地区生产总值(亿元)_工业_本期值,618.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
萧山区_地区生产总值(亿元)_第三产业_本期值,1077.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
余杭区_地区生产总值(亿元)_本期值,3051.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
余杭区_地区生产总值(亿元)_第一产业_本期值,52.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
余杭区_地区生产总值(亿元)_第二产业_本期值,676.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
余杭区_地区生产总值(亿元)_工业_本期值,626.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
