,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年,1972年,1971年,1970年,1969年,1968年,1967年,1966年,1965年,1964年,1963年,1962年,1961年,1960年,1959年,1958年,1957年,1956年,1955年,1954年,1953年,1952年
象山县_地区生产总值(亿元)_第三产业_本期值,246.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁海县_地区生产总值(亿元)_本期值,722.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁海县_地区生产总值(亿元)_第一产业_本期值,48.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁海县_地区生产总值(亿元)_第二产业_本期值,354.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁海县_地区生产总值(亿元)_工业_本期值,306.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宁海县_地区生产总值(亿元)_第三产业_本期值,319.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
余姚市_地区生产总值(亿元)_本期值,1220.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
余姚市_地区生产总值(亿元)_第一产业_本期值,50.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
余姚市_地区生产总值(亿元)_第二产业_本期值,701.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
余姚市_地区生产总值(亿元)_工业_本期值,656.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
余姚市_地区生产总值(亿元)_第三产业_本期值,469.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慈溪市_地区生产总值(亿元)_本期值,2008.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慈溪市_地区生产总值(亿元)_第一产业_本期值,58.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慈溪市_地区生产总值(亿元)_第二产业_本期值,1168.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慈溪市_地区生产总值(亿元)_工业_本期值,1083.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慈溪市_地区生产总值(亿元)_第三产业_本期值,781.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温州市_地区生产总值(亿元)_本期值,,6606.11,6039.77,5412.13,5125.01,4670.35,4067.91,3706.52,3706.52,3436.58,2943.71,2539.62,2422.19,2156.47,1834.44,1597.40,1388.91,1212.49,1052.35,924.30,822.02,729.07,672.06,672.06,507.05,401.66,295.86,196.06,126.86,92.92,77.90,72.84,69.21,54.96,44.91,37.80,30.21,24.34,21.37,19.18,17.97,15.02,13.22,,,,,,,,,,,,,,,,,,,,,,,,,,
温州市_地区生产总值(亿元)_第一产业_本期值,,151.72,142.22,140.33,132.29,123.38,109.63,110.39,110.39,104.72,91.55,78.95,74.65,67.82,63.13,64.89,62.03,55.67,54.49,56.19,53.21,52.37,53.13,53.13,47.37,41.42,30.63,26.18,23.74,24.35,21.34,20.78,20.59,17.58,14.08,12.80,11.27,9.32,8.86,6.99,6.84,6.25,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,
温州市_地区生产总值(亿元)_第二产业_本期值,,2811.93,2638.06,2336.69,2234.36,2164.26,1959.88,1827.23,1827.23,1736.35,1519.10,1319.08,1298.05,1172.01,1014.12,872.06,746.15,660.42,568.82,502.25,455.63,404.84,381.04,381.04,295.24,231.11,172.66,114.47,66.40,41.27,34.80,31.66,29.07,23.31,19.42,16.10,11.64,9.18,7.58,7.89,7.31,5.54,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,
温州市_地区生产总值(亿元)_工业_本期值,,2311.00,2143.26,1898.63,1860.13,1801.22,1684.04,1576.15,1576.15,1516.32,1366.01,1190.43,1181.30,1065.45,923.23,800.29,679.41,600.69,502.38,443.79,403.82,356.87,329.56,329.56,247.70,191.11,147.21,99.62,57.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温州市_地区生产总值(亿元)_第三产业_本期值,,3642.46,3259.49,2935.12,2758.36,2382.72,1998.39,1768.90,1768.90,1595.51,1333.07,1141.59,1049.48,916.64,757.19,660.45,580.73,496.39,429.04,365.86,313.18,271.87,237.88,237.88,164.44,129.14,92.58,55.41,36.73,27.30,21.76,20.40,19.55,14.07,11.42,8.90,7.29,5.84,4.92,4.29,3.81,3.23,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿城区_地区生产总值(亿元)_本期值,1172.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿城区_地区生产总值(亿元)_第一产业_本期值,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿城区_地区生产总值(亿元)_第二产业_本期值,279.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿城区_地区生产总值(亿元)_工业_本期值,200.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鹿城区_地区生产总值(亿元)_第三产业_本期值,890.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙湾区_地区生产总值(亿元)_本期值,717.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙湾区_地区生产总值(亿元)_第一产业_本期值,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙湾区_地区生产总值(亿元)_第二产业_本期值,383.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙湾区_地区生产总值(亿元)_工业_本期值,336.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙湾区_地区生产总值(亿元)_第三产业_本期值,331.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓯海区_地区生产总值(亿元)_本期值,701.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓯海区_地区生产总值(亿元)_第一产业_本期值,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓯海区_地区生产总值(亿元)_第二产业_本期值,286.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓯海区_地区生产总值(亿元)_工业_本期值,206.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瓯海区_地区生产总值(亿元)_第三产业_本期值,408.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洞头区_地区生产总值(亿元)_本期值,114.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洞头区_地区生产总值(亿元)_第一产业_本期值,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洞头区_地区生产总值(亿元)_第二产业_本期值,47.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洞头区_地区生产总值(亿元)_工业_本期值,27.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洞头区_地区生产总值(亿元)_第三产业_本期值,60.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永嘉县_地区生产总值(亿元)_本期值,461.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永嘉县_地区生产总值(亿元)_第一产业_本期值,17.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永嘉县_地区生产总值(亿元)_第二产业_本期值,195.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永嘉县_地区生产总值(亿元)_工业_本期值,141.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
永嘉县_地区生产总值(亿元)_第三产业_本期值,249.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平阳县_地区生产总值(亿元)_本期值,534.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平阳县_地区生产总值(亿元)_第一产业_本期值,20.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平阳县_地区生产总值(亿元)_第二产业_本期值,247.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平阳县_地区生产总值(亿元)_工业_本期值,204.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平阳县_地区生产总值(亿元)_第三产业_本期值,266.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苍南县_地区生产总值(亿元)_本期值,363.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苍南县_地区生产总值(亿元)_第一产业_本期值,28.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苍南县_地区生产总值(亿元)_第二产业_本期值,127.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苍南县_地区生产总值(亿元)_工业_本期值,73.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
苍南县_地区生产总值(亿元)_第三产业_本期值,207.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文成县_地区生产总值(亿元)_本期值,112.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文成县_地区生产总值(亿元)_第一产业_本期值,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文成县_地区生产总值(亿元)_第二产业_本期值,28.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文成县_地区生产总值(亿元)_工业_本期值,11.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文成县_地区生产总值(亿元)_第三产业_本期值,73.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰顺县_地区生产总值(亿元)_本期值,121.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰顺县_地区生产总值(亿元)_第一产业_本期值,10.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰顺县_地区生产总值(亿元)_第二产业_本期值,41.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰顺县_地区生产总值(亿元)_工业_本期值,9.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰顺县_地区生产总值(亿元)_第三产业_本期值,70.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞安市_地区生产总值(亿元)_本期值,1037.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞安市_地区生产总值(亿元)_第一产业_本期值,25.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞安市_地区生产总值(亿元)_第二产业_本期值,464.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞安市_地区生产总值(亿元)_工业_本期值,388.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞安市_地区生产总值(亿元)_第三产业_本期值,546.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乐清市_地区生产总值(亿元)_本期值,1263.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乐清市_地区生产总值(亿元)_第一产业_本期值,21.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乐清市_地区生产总值(亿元)_第二产业_本期值,591.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乐清市_地区生产总值(亿元)_工业_本期值,547.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
乐清市_地区生产总值(亿元)_第三产业_本期值,649.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙港市_地区生产总值(亿元)_本期值,316.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙港市_地区生产总值(亿元)_第一产业_本期值,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙港市_地区生产总值(亿元)_第二产业_本期值,144.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙港市_地区生产总值(亿元)_工业_本期值,137.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龙港市_地区生产总值(亿元)_第三产业_本期值,162.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉兴市_地区生产总值(亿元)_本期值,,5370.32,5018.38,4500.26,3979.04,3696.62,3234.34,2909.65,2909.65,2698.81,2357.22,1917.33,1816.60,1606.66,1354.18,1165.88,1008.89,823.54,677.65,586.73,524.03,460.31,433.39,433.39,369.96,311.24,236.57,168.10,113.32,91.26,81.33,79.77,72.42,57.59,47.90,40.98,30.67,23.27,22.41,19.96,17.80,16.63,13.29,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉兴市_地区生产总值(亿元)_第一产业_本期值,,120.89,115.93,116.33,118.58,121.76,132.90,138.35,138.35,132.27,119.57,102.76,102.34,98.77,82.99,81.92,76.80,66.04,61.23,63.26,60.23,55.37,59.71,59.71,61.43,56.95,49.67,30.88,26.30,24.93,24.97,23.71,21.73,16.66,13.64,12.38,11.33,8.37,8.98,7.78,6.96,8.39,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉兴市_地区生产总值(亿元)_第二产业_本期值,,2892.55,2755.69,2425.01,2126.66,1969.31,1807.24,1619.41,1619.41,1548.32,1388.22,1113.73,1081.21,966.03,819.94,691.35,594.66,474.90,379.84,315.63,283.79,252.97,238.72,238.72,207.62,175.49,130.25,99.32,62.23,47.51,40.56,39.75,36.34,29.90,24.69,21.20,14.06,10.44,9.45,8.65,7.57,5.52,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉兴市_地区生产总值(亿元)_工业_本期值,,2576.03,2441.08,2157.03,1891.30,1748.91,1605.28,1438.14,1438.14,1373.67,1226.97,982.78,974.29,872.37,735.78,618.28,529.35,424.40,340.90,282.49,254.61,227.35,214.85,214.85,189.97,158.31,118.78,89.53,53.84,40.45,34.82,34.64,31.90,26.15,21.93,19.18,12.65,9.37,8.37,7.74,6.62,4.80,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉兴市_地区生产总值(亿元)_第三产业_本期值,,2356.88,2146.76,1958.92,1733.80,1605.54,1294.20,1151.88,1151.88,1018.22,849.43,700.84,633.06,541.86,451.25,392.61,337.42,282.60,236.57,207.84,180.01,151.97,134.96,134.96,100.91,78.80,56.66,37.91,24.79,18.82,15.80,16.31,14.35,11.03,9.57,7.40,5.28,4.46,3.98,3.53,3.27,2.73,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,
南湖区_地区生产总值(亿元)_本期值,797.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南湖区_地区生产总值(亿元)_第一产业_本期值,13.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南湖区_地区生产总值(亿元)_第二产业_本期值,350.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南湖区_地区生产总值(亿元)_工业_本期值,295.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南湖区_地区生产总值(亿元)_第三产业_本期值,433.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秀洲区_地区生产总值(亿元)_本期值,704.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秀洲区_地区生产总值(亿元)_第一产业_本期值,14.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秀洲区_地区生产总值(亿元)_第二产业_本期值,338.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秀洲区_地区生产总值(亿元)_工业_本期值,304.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秀洲区_地区生产总值(亿元)_第三产业_本期值,351.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉善县_地区生产总值(亿元)_本期值,655.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉善县_地区生产总值(亿元)_第一产业_本期值,22.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉善县_地区生产总值(亿元)_第二产业_本期值,347.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉善县_地区生产总值(亿元)_工业_本期值,316.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉善县_地区生产总值(亿元)_第三产业_本期值,285.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海盐县_地区生产总值(亿元)_本期值,544.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海盐县_地区生产总值(亿元)_第一产业_本期值,17.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海盐县_地区生产总值(亿元)_第二产业_本期值,313.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海盐县_地区生产总值(亿元)_工业_本期值,290.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海盐县_地区生产总值(亿元)_第三产业_本期值,212.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海宁市_地区生产总值(亿元)_本期值,1030.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海宁市_地区生产总值(亿元)_第一产业_本期值,18.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海宁市_地区生产总值(亿元)_第二产业_本期值,574.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海宁市_地区生产总值(亿元)_工业_本期值,509.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海宁市_地区生产总值(亿元)_第三产业_本期值,437.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平湖市_地区生产总值(亿元)_本期值,779.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平湖市_地区生产总值(亿元)_第一产业_本期值,14.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平湖市_地区生产总值(亿元)_第二产业_本期值,452.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平湖市_地区生产总值(亿元)_工业_本期值,422.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平湖市_地区生产总值(亿元)_第三产业_本期值,311.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桐乡市_地区生产总值(亿元)_本期值,1002.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桐乡市_地区生产总值(亿元)_第一产业_本期值,24.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桐乡市_地区生产总值(亿元)_第二产业_本期值,481.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桐乡市_地区生产总值(亿元)_工业_本期值,421.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桐乡市_地区生产总值(亿元)_第三产业_本期值,497.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖州市_地区生产总值(亿元)_本期值,,3122.43,2881.21,2607.86,2391.14,2223.06,1930.78,1748.11,1748.11,1579.40,1385.48,1195.55,1032.10,890.50,758.11,642.89,551.88,459.54,397.07,362.95,325.23,300.05,290.20,290.20,249.44,215.76,180.65,126.82,80.04,60.52,54.99,49.72,44.99,35.19,29.60,24.81,19.23,16.04,15.37,13.72,12.23,11.19,8.88,,,,,,,,,,,,,,,,,,,,,,,,,,
湖州市_地区生产总值(亿元)_第一产业_本期值,,133.8,128.37,125.75,124.22,122.60,119.80,122.65,122.65,116.22,104.22,90.26,84.83,71.11,65.90,63.10,58.47,50.41,47.22,46.77,44.64,43.70,44.51,44.51,43.18,40.39,35.20,25.76,20.53,18.48,18.85,16.05,16.15,11.60,9.69,8.26,7.60,6.58,6.73,5.80,4.91,5.50,4.01,,,,,,,,,,,,,,,,,,,,,,,,,,
湖州市_地区生产总值(亿元)_第二产业_本期值,,1595.4,1491.53,1360.86,1250.24,1180.73,1044.99,962.24,962.24,874.12,797.74,698.81,591.34,508.89,433.43,353.25,303.04,245.44,215.52,196.72,175.45,163.17,158.72,158.72,134.77,114.28,99.15,71.11,40.45,28.35,24.14,22.54,19.62,16.02,13.41,11.04,7.63,6.04,5.50,5.16,4.92,3.74,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,
