指标,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
城镇登记失业人数(万人),42.1,34.4,34.1,33.8,33.9,33.7,33.1,33.4,33.4,31.7,31.1,30.7,30.7,28.6,29.1,29,30.1,28.3,27.7
城镇登记失业率(%),2.8,2.5,2.6,2.7,2.9,2.9,3,3,3,3.1,3.2,3.3,3.5,3.3,3.5,3.7,4.1,4.2,4.2
